year,region,public_university,public_polytechnic,private_university,private_polytechnic
2015 / 2016,Região Autónoma da Madeira,2657.0,183.0,,426.0
2015 / 2016,Região Autónoma da Madeira,2657.0,183.0,,426.0
2014 / 2015,Portugal,191707.0,100652.0,42666.0,14633.0
2014 / 2015,Continente,186453.0,100190.0,42666.0,14303.0
2014 / 2015,Norte,54371.0,32734.0,18250.0,7269.0
2014 / 2015,Alto Minho,,3630.0,207.0,54.0
2014 / 2015,Cávado,17440.0,3715.0,988.0,
2014 / 2015,Ave,,,558.0,1153.0
2014 / 2015,Área Metropolitana do Porto,30515.0,18069.0,16497.0,5701.0
2014 / 2015,Alto Tâmega,,,,229.0
2014 / 2015,Tâmega e Sousa,,1196.0,,128.0
2014 / 2015,Douro,6416.0,777.0,,
2014 / 2015,Terras de Trás-os-Montes,,5347.0,,4.0
2014 / 2015,Centro,39091.0,33927.0,1892.0,783.0
2014 / 2015,Oeste,,2355.0,,106.0
2014 / 2015,Região de Aveiro,10254.0,2264.0,,353.0
2014 / 2015,Região de Coimbra,22074.0,11441.0,1302.0,
2014 / 2015,Região de Leiria,,6254.0,96.0,69.0
2014 / 2015,Viseu Dão Lafões,,4045.0,494.0,200.0
2014 / 2015,Beira Baixa,,3546.0,,
2014 / 2015,Médio Tejo,,1662.0,,55.0
2014 / 2015,Beiras e Serra da Estrela,6763.0,2360.0,,
2014 / 2015,Área Metropolitana de Lisboa,83873.0,22516.0,22070.0,5944.0
2014 / 2015,Área Metropolitana de Lisboa,83873.0,22516.0,22070.0,5944.0
2014 / 2015,Alentejo,5462.0,7364.0,,164.0
2014 / 2015,Alentejo Litoral,,,,55.0
2014 / 2015,Baixo Alentejo,,2253.0,,
2014 / 2015,Lezíria do Tejo,,3155.0,,109.0
2014 / 2015,Alto Alentejo,,1600.0,,
2014 / 2015,Alentejo Central,5462.0,356.0,,
2014 / 2015,Algarve,3656.0,3649.0,454.0,143.0
2014 / 2015,Algarve,3656.0,3649.0,454.0,143.0
2014 / 2015,Região Autónoma dos Açores,2560.0,350.0,,
2014 / 2015,Região Autónoma dos Açores,2560.0,350.0,,
2014 / 2015,Região Autónoma dos Açores,2560.0,350.0,,
2014 / 2015,Região Autónoma da Madeira,2694.0,112.0,,330.0
2014 / 2015,Região Autónoma da Madeira,2694.0,112.0,,330.0
2014 / 2015,Região Autónoma da Madeira,2694.0,112.0,,330.0
2013 / 2014,Portugal,198380.0,103274.0,44495.0,16051.0
2013 / 2014,Continente,192916.0,102789.0,44495.0,15795.0
2013 / 2014,Norte,56436.0,32975.0,18723.0,7687.0
2013 / 2014,Alto Minho,,3773.0,242.0,55.0
2013 / 2014,Cávado,17698.0,3589.0,1014.0,
2013 / 2014,Ave,,,544.0,1298.0
2013 / 2014,Área Metropolitana do Porto,31904.0,18318.0,16923.0,5922.0
2013 / 2014,Alto Tâmega,142.0,,,244.0
2013 / 2014,Tâmega e Sousa,,1198.0,,142.0
2013 / 2014,Douro,6692.0,737.0,,
2013 / 2014,Terras de Trás-os-Montes,,5360.0,,26.0
2013 / 2014,Centro,41795.0,35272.0,2068.0,847.0
2013 / 2014,Oeste,,2402.0,,106.0
2013 / 2014,Região de Aveiro,10916.0,2340.0,,342.0
2013 / 2014,Região de Coimbra,23934.0,11581.0,1299.0,
2013 / 2014,Região de Leiria,,6602.0,171.0,88.0
2013 / 2014,Viseu Dão Lafões,,4417.0,598.0,215.0
2013 / 2014,Beira Baixa,,3687.0,,
2013 / 2014,Médio Tejo,,1923.0,,96.0
2013 / 2014,Beiras e Serra da Estrela,6945.0,2320.0,,
2013 / 2014,Área Metropolitana de Lisboa,84877.0,22883.0,23074.0,6940.0
2013 / 2014,Área Metropolitana de Lisboa,84877.0,22883.0,23074.0,6940.0
2013 / 2014,Alentejo,5823.0,7788.0,,127.0
2013 / 2014,Alentejo Litoral,,,,53.0
2013 / 2014,Baixo Alentejo,,2355.0,,
2013 / 2014,Lezíria do Tejo,,3303.0,,74.0
2013 / 2014,Alto Alentejo,,1745.0,,
2013 / 2014,Alentejo Central,5823.0,385.0,,
2013 / 2014,Algarve,3985.0,3871.0,630.0,194.0
2013 / 2014,Algarve,3985.0,3871.0,630.0,194.0
2013 / 2014,Região Autónoma dos Açores,2671.0,363.0,,
2013 / 2014,Região Autónoma dos Açores,2671.0,363.0,,
2013 / 2014,Região Autónoma dos Açores,2671.0,363.0,,
2013 / 2014,Região Autónoma da Madeira,2793.0,122.0,,256.0
2013 / 2014,Região Autónoma da Madeira,2793.0,122.0,,256.0
2013 / 2014,Região Autónoma da Madeira,2793.0,122.0,,256.0
2012 / 2013,Portugal,197036.0,106674.0,48716.0,18574.0
2012 / 2013,Continente,191392.0,106063.0,48716.0,18305.0
2012 / 2013,Norte,56858.0,33724.0,20040.0,8728.0
2012 / 2013,Alto Minho,,3966.0,255.0,38.0
2012 / 2013,Cávado,17577.0,3679.0,998.0,
2012 / 2013,Ave,,,664.0,1556.0
2012 / 2013,Área Metropolitana do Porto,32166.0,18136.0,18096.0,6577.0
2012 / 2013,Alto Tâmega,161.0,,,256.0
2012 / 2013,Tâmega e Sousa,,1257.0,,231.0
2012 / 2013,Douro,6954.0,898.0,,
2012 / 2013,Terras de Trás-os-Montes,,5788.0,27.0,70.0
2012 / 2013,Centro,41925.0,36499.0,2248.0,959.0
