year,region,proportion_STEM_higher_ed
2000 / 2001,Povoação,
2000 / 2001,Ribeira Grande,
2000 / 2001,Santa Cruz da Graciosa,
2000 / 2001,Santa Cruz das Flores,
2000 / 2001,São Roque do Pico,
2000 / 2001,Velas,
2000 / 2001,Vila da Praia da Vitória,
2000 / 2001,Vila do Porto,
2000 / 2001,Vila Franca do Campo,
2000 / 2001,Região Autónoma da Madeira,29.6
2000 / 2001,Região Autónoma da Madeira,29.6
2000 / 2001,Região Autónoma da Madeira,29.6
2000 / 2001,Calheta,
2000 / 2001,Câmara de Lobos,
2000 / 2001,Funchal,29.6
2000 / 2001,Machico,
2000 / 2001,Ponta do Sol,
2000 / 2001,Porto Moniz,
2000 / 2001,Porto Santo,
2000 / 2001,Ribeira Brava,
2000 / 2001,Santa Cruz,
2000 / 2001,Santana,
2000 / 2001,São Vicente,
1999 / 2000,Portugal,30.2
1999 / 2000,Continente,30.3
1999 / 2000,Norte,29.0
1999 / 2000,Alto Minho,26.3
1999 / 2000,Arcos de Valdevez,
1999 / 2000,Caminha,
1999 / 2000,Melgaço,
1999 / 2000,Monção,
1999 / 2000,Paredes de Coura,
1999 / 2000,Ponte da Barca,
1999 / 2000,Ponte de Lima,15.7
1999 / 2000,Valença,
1999 / 2000,Viana do Castelo,25.2
1999 / 2000,Vila Nova de Cerveira,96.4
1999 / 2000,Cávado,38.0
1999 / 2000,Amares,
1999 / 2000,Barcelos,
1999 / 2000,Braga,39.4
1999 / 2000,Esposende,
1999 / 2000,Terras de Bouro,
1999 / 2000,Vila Verde,
1999 / 2000,Ave,32.0
1999 / 2000,Cabeceiras de Basto,
1999 / 2000,Fafe,3.9
1999 / 2000,Guimarães,
1999 / 2000,Mondim de Basto,
1999 / 2000,Póvoa de Lanhoso,
1999 / 2000,Vieira do Minho,
1999 / 2000,Vila Nova de Famalicão,54.8
1999 / 2000,Vizela,
1999 / 2000,Área Metropolitana do Porto,28.2
1999 / 2000,Arouca,
1999 / 2000,Espinho,
1999 / 2000,Gondomar,
1999 / 2000,Maia,6.5
1999 / 2000,Matosinhos,
1999 / 2000,Oliveira de Azeméis,
1999 / 2000,Paredes,
1999 / 2000,Porto,35.6
1999 / 2000,Póvoa de Varzim,
1999 / 2000,Santa Maria da Feira,17.5
1999 / 2000,Santo Tirso,
1999 / 2000,São João da Madeira,
1999 / 2000,Trofa,
1999 / 2000,Vale de Cambra,
1999 / 2000,Valongo,
1999 / 2000,Vila do Conde,
1999 / 2000,Vila Nova de Gaia,10.9
1999 / 2000,Alto Tâmega,
1999 / 2000,Boticas,
1999 / 2000,Chaves,
1999 / 2000,Montalegre,
1999 / 2000,Ribeira de Pena,
1999 / 2000,Valpaços,
1999 / 2000,Vila Pouca de Aguiar,
1999 / 2000,Tâmega e Sousa,5.3
1999 / 2000,Amarante,
1999 / 2000,Baião,
1999 / 2000,Castelo de Paiva,
1999 / 2000,Celorico de Basto,
1999 / 2000,Cinfães,
1999 / 2000,Felgueiras,
1999 / 2000,Lousada,
1999 / 2000,Marco de Canaveses,
1999 / 2000,Paços de Ferreira,
1999 / 2000,Penafiel,6.1
1999 / 2000,Resende,
1999 / 2000,Douro,22.1
1999 / 2000,Alijó,
1999 / 2000,Armamar,
1999 / 2000,Carrazeda de Ansiães,
1999 / 2000,Freixo de Espada à Cinta,
1999 / 2000,Lamego,
1999 / 2000,Mesão Frio,
1999 / 2000,Moimenta da Beira,
1999 / 2000,Murça,
1999 / 2000,Penedono,
1999 / 2000,Peso da Régua,
1999 / 2000,Sabrosa,
1999 / 2000,Santa Marta de Penaguião,
1999 / 2000,São João da Pesqueira,
1999 / 2000,Sernancelhe,
1999 / 2000,Tabuaço,
1999 / 2000,Tarouca,
1999 / 2000,Torre de Moncorvo,
1999 / 2000,Vila Nova de Foz Côa,
1999 / 2000,Vila Real,23.4
1999 / 2000,Terras de Trás-os-Montes,25.8
1999 / 2000,Alfândega da Fé,
1999 / 2000,Bragança,33.9
1999 / 2000,Macedo de Cavaleiros,
1999 / 2000,Miranda do Douro,
1999 / 2000,Mirandela,42.4
1999 / 2000,Mogadouro,
1999 / 2000,Vila Flor,
1999 / 2000,Vimioso,
1999 / 2000,Vinhais,
1999 / 2000,Centro,36.1
1999 / 2000,Oeste,9.9
1999 / 2000,Alcobaça,
1999 / 2000,Alenquer,
1999 / 2000,Arruda dos Vinhos,
1999 / 2000,Bombarral,
1999 / 2000,Cadaval,
1999 / 2000,Caldas da Rainha,8.6
1999 / 2000,Lourinhã,
1999 / 2000,Nazaré,
1999 / 2000,Óbidos,
1999 / 2000,Peniche,9.2
1999 / 2000,Sobral de Monte Agraço,
1999 / 2000,Torres Vedras,22.8
1999 / 2000,Região de Aveiro,46.8
1999 / 2000,Águeda,100.0
1999 / 2000,Albergaria-a-Velha,
1999 / 2000,Anadia,
1999 / 2000,Aveiro,46.2
1999 / 2000,Estarreja,
1999 / 2000,Ílhavo,
1999 / 2000,Murtosa,
1999 / 2000,Oliveira do Bairro,
1999 / 2000,Ovar,
1999 / 2000,Sever do Vouga,
1999 / 2000,Vagos,
1999 / 2000,Região de Coimbra,34.3
1999 / 2000,Arganil,
1999 / 2000,Cantanhede,
1999 / 2000,Coimbra,35.0
1999 / 2000,Condeixa-a-Nova,
1999 / 2000,Figueira da Foz,11.8
1999 / 2000,Góis,
1999 / 2000,Lousã,
1999 / 2000,Mealhada,
1999 / 2000,Mira,
1999 / 2000,Miranda do Corvo,
1999 / 2000,Montemor-o-Velho,
1999 / 2000,Mortágua,
1999 / 2000,Oliveira do Hospital,
1999 / 2000,Pampilhosa da Serra,
1999 / 2000,Penacova,
1999 / 2000,Penela,
1999 / 2000,Soure,
1999 / 2000,Tábua,
1999 / 2000,Vila Nova de Poiares,
1999 / 2000,Região de Leiria,40.2
1999 / 2000,Alvaiázere,
1999 / 2000,Ansião,
1999 / 2000,Batalha,
1999 / 2000,Castanheira de Pêra,
1999 / 2000,Figueiró dos Vinhos,
1999 / 2000,Leiria,40.4
1999 / 2000,Marinha Grande,28.2
1999 / 2000,Pedrógão Grande,
1999 / 2000,Pombal,
1999 / 2000,Porto de Mós,
1999 / 2000,Viseu Dão Lafões,26.4
1999 / 2000,Aguiar da Beira,
1999 / 2000,Carregal do Sal,
1999 / 2000,Castro Daire,
1999 / 2000,Mangualde,
1999 / 2000,Nelas,
1999 / 2000,Oliveira de Frades,
1999 / 2000,Penalva do Castelo,
1999 / 2000,Santa Comba Dão,
1999 / 2000,São Pedro do Sul,
1999 / 2000,Sátão,
1999 / 2000,Tondela,
1999 / 2000,Vila Nova de Paiva,
1999 / 2000,Viseu,26.4
1999 / 2000,Vouzela,
1999 / 2000,Beira Baixa,33.7
1999 / 2000,Castelo Branco,38.9
1999 / 2000,Idanha-a-Nova,
1999 / 2000,Oleiros,
1999 / 2000,Penamacor,
1999 / 2000,Proença-a-Nova,
1999 / 2000,Vila Velha de Ródão,
1999 / 2000,Médio Tejo,44.7
1999 / 2000,Abrantes,50.4
1999 / 2000,Alcanena,
1999 / 2000,Constância,
1999 / 2000,Entroncamento,100.0
1999 / 2000,Ferreira do Zêzere,
1999 / 2000,Mação,
1999 / 2000,Ourém,
1999 / 2000,Sardoal,
1999 / 2000,Sertã,
1999 / 2000,Tomar,47.9
1999 / 2000,Torres Novas,
1999 / 2000,Vila de Rei,
1999 / 2000,Vila Nova da Barquinha,
1999 / 2000,Beiras e Serra da Estrela,39.9
1999 / 2000,Almeida,
1999 / 2000,Belmonte,
1999 / 2000,Celorico da Beira,
1999 / 2000,Covilhã,50.8
1999 / 2000,Figueira de Castelo Rodrigo,
1999 / 2000,Fornos de Algodres,
1999 / 2000,Fundão,36.0
1999 / 2000,Gouveia,
1999 / 2000,Guarda,26.9
1999 / 2000,Manteigas,
1999 / 2000,Mêda,
1999 / 2000,Pinhel,
1999 / 2000,Sabugal,
1999 / 2000,Seia,55.1
1999 / 2000,Trancoso,
1999 / 2000,Área Metropolitana de Lisboa,28.5
1999 / 2000,Área Metropolitana de Lisboa,28.5
1999 / 2000,Alcochete,
1999 / 2000,Almada,51.2
1999 / 2000,Amadora,
1999 / 2000,Barreiro,100.0
1999 / 2000,Cascais,
1999 / 2000,Lisboa,26.8
1999 / 2000,Loures,
1999 / 2000,Mafra,
1999 / 2000,Moita,
1999 / 2000,Montijo,
1999 / 2000,Odivelas,
1999 / 2000,Oeiras,25.8
1999 / 2000,Palmela,
1999 / 2000,Seixal,
1999 / 2000,Sesimbra,
1999 / 2000,Setúbal,41.5
1999 / 2000,Sintra,
1999 / 2000,Vila Franca de Xira,
1999 / 2000,Alentejo,24.2
1999 / 2000,Alentejo Litoral,
1999 / 2000,Alcácer do Sal,
1999 / 2000,Grândola,
1999 / 2000,Odemira,
1999 / 2000,Santiago do Cacém,
1999 / 2000,Sines,
1999 / 2000,Baixo Alentejo,23.7
1999 / 2000,Aljustrel,
1999 / 2000,Almodôvar,
1999 / 2000,Alvito,
1999 / 2000,Barrancos,
1999 / 2000,Beja,23.7
1999 / 2000,Castro Verde,
1999 / 2000,Cuba,
1999 / 2000,Ferreira do Alentejo,
1999 / 2000,Mértola,
1999 / 2000,Moura,
1999 / 2000,Ourique,
1999 / 2000,Serpa,
1999 / 2000,Vidigueira,
1999 / 2000,Lezíria do Tejo,23.8
1999 / 2000,Almeirim,
1999 / 2000,Alpiarça,
1999 / 2000,Azambuja,
1999 / 2000,Benavente,
1999 / 2000,Cartaxo,
1999 / 2000,Chamusca,
1999 / 2000,Coruche,
1999 / 2000,Golegã,
1999 / 2000,Rio Maior,
1999 / 2000,Salvaterra de Magos,
1999 / 2000,Santarém,24.6
1999 / 2000,Alto Alentejo,10.1
1999 / 2000,Alter do Chão,
1999 / 2000,Arronches,
1999 / 2000,Avis,
1999 / 2000,Campo Maior,
1999 / 2000,Castelo de Vide,
1999 / 2000,Crato,
1999 / 2000,Elvas,
1999 / 2000,Fronteira,
1999 / 2000,Gavião,
1999 / 2000,Marvão,
1999 / 2000,Monforte,
1999 / 2000,Nisa,
1999 / 2000,Ponte de Sor,
1999 / 2000,Portalegre,10.6
1999 / 2000,Sousel,
1999 / 2000,Alentejo Central,29.2
1999 / 2000,Alandroal,
1999 / 2000,Arraiolos,
1999 / 2000,Borba,
1999 / 2000,Estremoz,
1999 / 2000,Évora,29.2
1999 / 2000,Montemor-o-Novo,
1999 / 2000,Mora,
1999 / 2000,Mourão,
1999 / 2000,Portel,
1999 / 2000,Redondo,
1999 / 2000,Reguengos de Monsaraz,
1999 / 2000,Vendas Novas,
1999 / 2000,Viana do Alentejo,
1999 / 2000,Vila Viçosa,
1999 / 2000,Algarve,37.0
1999 / 2000,Algarve,37.0
1999 / 2000,Albufeira,
1999 / 2000,Alcoutim,
1999 / 2000,Aljezur,
1999 / 2000,Castro Marim,
1999 / 2000,Faro,41.9
1999 / 2000,Lagoa,
1999 / 2000,Lagos,
1999 / 2000,Loulé,3.8
1999 / 2000,Monchique,
1999 / 2000,Olhão,
1999 / 2000,Portimão,14.0
1999 / 2000,São Brás de Alportel,
1999 / 2000,Silves,
1999 / 2000,Tavira,
1999 / 2000,Vila do Bispo,
1999 / 2000,Vila Real de Santo António,
1999 / 2000,Região Autónoma dos Açores,20.2
1999 / 2000,Região Autónoma dos Açores,20.2
1999 / 2000,Região Autónoma dos Açores,20.2
1999 / 2000,Angra do Heroísmo,24.4
1999 / 2000,Calheta,
1999 / 2000,Corvo,
1999 / 2000,Horta,
1999 / 2000,Lagoa,
1999 / 2000,Lajes das Flores,
1999 / 2000,Lajes do Pico,
1999 / 2000,Madalena,
1999 / 2000,Nordeste,
1999 / 2000,Ponta Delgada,20.0
1999 / 2000,Povoação,
1999 / 2000,Ribeira Grande,
1999 / 2000,Santa Cruz da Graciosa,
1999 / 2000,Santa Cruz das Flores,
1999 / 2000,São Roque do Pico,
1999 / 2000,Velas,
1999 / 2000,Vila da Praia da Vitória,
1999 / 2000,Vila do Porto,
1999 / 2000,Vila Franca do Campo,
1999 / 2000,Região Autónoma da Madeira,29.0
1999 / 2000,Região Autónoma da Madeira,29.0
1999 / 2000,Região Autónoma da Madeira,29.0
1999 / 2000,Calheta,
1999 / 2000,Câmara de Lobos,
1999 / 2000,Funchal,29.0
1999 / 2000,Machico,
1999 / 2000,Ponta do Sol,
1999 / 2000,Porto Moniz,
1999 / 2000,Porto Santo,
1999 / 2000,Ribeira Brava,
1999 / 2000,Santa Cruz,
1999 / 2000,Santana,
1999 / 2000,São Vicente,
1998 / 1999,Portugal,30.6
1998 / 1999,Continente,30.7
1998 / 1999,Norte,29.5
1998 / 1999,Alto Minho,24.8
1998 / 1999,Arcos de Valdevez,
1998 / 1999,Caminha,
1998 / 1999,Melgaço,
1998 / 1999,Monção,
1998 / 1999,Paredes de Coura,
1998 / 1999,Ponte da Barca,
1998 / 1999,Ponte de Lima,12.8
1998 / 1999,Valença,
1998 / 1999,Viana do Castelo,28.1
1998 / 1999,Vila Nova de Cerveira,
1998 / 1999,Cávado,39.4
1998 / 1999,Amares,
1998 / 1999,Barcelos,
1998 / 1999,Braga,40.3
1998 / 1999,Esposende,
1998 / 1999,Terras de Bouro,
1998 / 1999,Vila Verde,
1998 / 1999,Ave,35.5
1998 / 1999,Cabeceiras de Basto,
1998 / 1999,Fafe,5.6
1998 / 1999,Guimarães,
1998 / 1999,Mondim de Basto,
1998 / 1999,Póvoa de Lanhoso,
1998 / 1999,Vieira do Minho,
1998 / 1999,Vila Nova de Famalicão,56.1
1998 / 1999,Vizela,
1998 / 1999,Área Metropolitana do Porto,28.4
1998 / 1999,Arouca,
1998 / 1999,Espinho,
1998 / 1999,Gondomar,
1998 / 1999,Maia,6.7
1998 / 1999,Matosinhos,
1998 / 1999,Oliveira de Azeméis,
1998 / 1999,Paredes,
1998 / 1999,Porto,35.6
1998 / 1999,Póvoa de Varzim,
1998 / 1999,Santa Maria da Feira,16.2
1998 / 1999,Santo Tirso,
1998 / 1999,São João da Madeira,
1998 / 1999,Trofa,
1998 / 1999,Vale de Cambra,
1998 / 1999,Valongo,
1998 / 1999,Vila do Conde,
1998 / 1999,Vila Nova de Gaia,11.3
1998 / 1999,Alto Tâmega,
1998 / 1999,Boticas,
1998 / 1999,Chaves,
1998 / 1999,Montalegre,
1998 / 1999,Ribeira de Pena,
1998 / 1999,Valpaços,
1998 / 1999,Vila Pouca de Aguiar,
1998 / 1999,Tâmega e Sousa,9.3
1998 / 1999,Amarante,
1998 / 1999,Baião,
1998 / 1999,Castelo de Paiva,
1998 / 1999,Celorico de Basto,
1998 / 1999,Cinfães,
1998 / 1999,Felgueiras,
1998 / 1999,Lousada,
1998 / 1999,Marco de Canaveses,
1998 / 1999,Paços de Ferreira,
1998 / 1999,Penafiel,9.3
1998 / 1999,Resende,
1998 / 1999,Douro,23.7
1998 / 1999,Alijó,
1998 / 1999,Armamar,
1998 / 1999,Carrazeda de Ansiães,
1998 / 1999,Freixo de Espada à Cinta,
1998 / 1999,Lamego,
1998 / 1999,Mesão Frio,
1998 / 1999,Moimenta da Beira,
1998 / 1999,Murça,
1998 / 1999,Penedono,
1998 / 1999,Peso da Régua,
1998 / 1999,Sabrosa,
1998 / 1999,Santa Marta de Penaguião,
1998 / 1999,São João da Pesqueira,
1998 / 1999,Sernancelhe,
1998 / 1999,Tabuaço,
1998 / 1999,Tarouca,
1998 / 1999,Torre de Moncorvo,
1998 / 1999,Vila Nova de Foz Côa,
1998 / 1999,Vila Real,24.9
1998 / 1999,Terras de Trás-os-Montes,24.8
1998 / 1999,Alfândega da Fé,
1998 / 1999,Bragança,31.4
1998 / 1999,Macedo de Cavaleiros,
1998 / 1999,Miranda do Douro,
1998 / 1999,Mirandela,45.4
1998 / 1999,Mogadouro,
1998 / 1999,Vila Flor,
1998 / 1999,Vimioso,
1998 / 1999,Vinhais,
1998 / 1999,Centro,36.9
1998 / 1999,Oeste,7.6
1998 / 1999,Alcobaça,
1998 / 1999,Alenquer,
1998 / 1999,Arruda dos Vinhos,
1998 / 1999,Bombarral,
1998 / 1999,Cadaval,
1998 / 1999,Caldas da Rainha,7.0
1998 / 1999,Lourinhã,
1998 / 1999,Nazaré,
1998 / 1999,Óbidos,
1998 / 1999,Peniche,
1998 / 1999,Sobral de Monte Agraço,
1998 / 1999,Torres Vedras,18.4
1998 / 1999,Região de Aveiro,49.1
1998 / 1999,Águeda,100.0
1998 / 1999,Albergaria-a-Velha,
1998 / 1999,Anadia,
1998 / 1999,Aveiro,48.6
1998 / 1999,Estarreja,
1998 / 1999,Ílhavo,
1998 / 1999,Murtosa,
1998 / 1999,Oliveira do Bairro,
1998 / 1999,Ovar,
1998 / 1999,Sever do Vouga,
1998 / 1999,Vagos,
1998 / 1999,Região de Coimbra,34.8
1998 / 1999,Arganil,
1998 / 1999,Cantanhede,
1998 / 1999,Coimbra,35.7
1998 / 1999,Condeixa-a-Nova,
1998 / 1999,Figueira da Foz,10.9
1998 / 1999,Góis,
1998 / 1999,Lousã,
1998 / 1999,Mealhada,
1998 / 1999,Mira,
1998 / 1999,Miranda do Corvo,
1998 / 1999,Montemor-o-Velho,
1998 / 1999,Mortágua,
1998 / 1999,Oliveira do Hospital,
1998 / 1999,Pampilhosa da Serra,
1998 / 1999,Penacova,
1998 / 1999,Penela,
1998 / 1999,Soure,
1998 / 1999,Tábua,
1998 / 1999,Vila Nova de Poiares,
1998 / 1999,Região de Leiria,39.8
1998 / 1999,Alvaiázere,
1998 / 1999,Ansião,
1998 / 1999,Batalha,
1998 / 1999,Castanheira de Pêra,
1998 / 1999,Figueiró dos Vinhos,
1998 / 1999,Leiria,40.0
1998 / 1999,Marinha Grande,31.6
1998 / 1999,Pedrógão Grande,
1998 / 1999,Pombal,
1998 / 1999,Porto de Mós,
1998 / 1999,Viseu Dão Lafões,27.0
1998 / 1999,Aguiar da Beira,
1998 / 1999,Carregal do Sal,
1998 / 1999,Castro Daire,
1998 / 1999,Mangualde,
1998 / 1999,Nelas,
1998 / 1999,Oliveira de Frades,
1998 / 1999,Penalva do Castelo,
1998 / 1999,Santa Comba Dão,
1998 / 1999,São Pedro do Sul,
1998 / 1999,Sátão,
1998 / 1999,Tondela,
1998 / 1999,Vila Nova de Paiva,
1998 / 1999,Viseu,27.0
1998 / 1999,Vouzela,
1998 / 1999,Beira Baixa,33.6
1998 / 1999,Castelo Branco,38.4
1998 / 1999,Idanha-a-Nova,
1998 / 1999,Oleiros,
1998 / 1999,Penamacor,
1998 / 1999,Proença-a-Nova,
1998 / 1999,Vila Velha de Ródão,
1998 / 1999,Médio Tejo,42.7
1998 / 1999,Abrantes,
1998 / 1999,Alcanena,
1998 / 1999,Constância,
1998 / 1999,Entroncamento,100.0
1998 / 1999,Ferreira do Zêzere,
1998 / 1999,Mação,
1998 / 1999,Ourém,
1998 / 1999,Sardoal,
1998 / 1999,Sertã,
1998 / 1999,Tomar,45.1
1998 / 1999,Torres Novas,
1998 / 1999,Vila de Rei,
1998 / 1999,Vila Nova da Barquinha,
1998 / 1999,Beiras e Serra da Estrela,41.0
1998 / 1999,Almeida,
1998 / 1999,Belmonte,
1998 / 1999,Celorico da Beira,
1998 / 1999,Covilhã,52.7
1998 / 1999,Figueira de Castelo Rodrigo,
1998 / 1999,Fornos de Algodres,
1998 / 1999,Fundão,37.3
1998 / 1999,Gouveia,
1998 / 1999,Guarda,28.5
1998 / 1999,Manteigas,
1998 / 1999,Mêda,
1998 / 1999,Pinhel,
1998 / 1999,Sabugal,
1998 / 1999,Seia,34.0
1998 / 1999,Trancoso,
1998 / 1999,Área Metropolitana de Lisboa,29.0
1998 / 1999,Área Metropolitana de Lisboa,29.0
1998 / 1999,Alcochete,
1998 / 1999,Almada,54.5
1998 / 1999,Amadora,
1998 / 1999,Barreiro,
1998 / 1999,Cascais,
1998 / 1999,Lisboa,27.1
1998 / 1999,Loures,
1998 / 1999,Mafra,
1998 / 1999,Moita,
1998 / 1999,Montijo,
1998 / 1999,Odivelas,
1998 / 1999,Oeiras,27.3
1998 / 1999,Palmela,
1998 / 1999,Seixal,
1998 / 1999,Sesimbra,
1998 / 1999,Setúbal,39.2
1998 / 1999,Sintra,
1998 / 1999,Vila Franca de Xira,
1998 / 1999,Alentejo,23.6
1998 / 1999,Alentejo Litoral,
1998 / 1999,Alcácer do Sal,
1998 / 1999,Grândola,
1998 / 1999,Odemira,
1998 / 1999,Santiago do Cacém,
1998 / 1999,Sines,
1998 / 1999,Baixo Alentejo,22.3
1998 / 1999,Aljustrel,
1998 / 1999,Almodôvar,
1998 / 1999,Alvito,
1998 / 1999,Barrancos,
1998 / 1999,Beja,22.3
1998 / 1999,Castro Verde,
1998 / 1999,Cuba,
1998 / 1999,Ferreira do Alentejo,
1998 / 1999,Mértola,
1998 / 1999,Moura,
1998 / 1999,Ourique,
1998 / 1999,Serpa,
1998 / 1999,Vidigueira,
1998 / 1999,Lezíria do Tejo,23.9
1998 / 1999,Almeirim,
1998 / 1999,Alpiarça,
1998 / 1999,Azambuja,
1998 / 1999,Benavente,
1998 / 1999,Cartaxo,
1998 / 1999,Chamusca,
1998 / 1999,Coruche,
1998 / 1999,Golegã,
1998 / 1999,Rio Maior,
1998 / 1999,Salvaterra de Magos,
1998 / 1999,Santarém,24.2
1998 / 1999,Alto Alentejo,7.1
1998 / 1999,Alter do Chão,
1998 / 1999,Arronches,
1998 / 1999,Avis,
1998 / 1999,Campo Maior,
1998 / 1999,Castelo de Vide,
1998 / 1999,Crato,
1998 / 1999,Elvas,
1998 / 1999,Fronteira,
1998 / 1999,Gavião,
1998 / 1999,Marvão,
1998 / 1999,Monforte,
1998 / 1999,Nisa,
1998 / 1999,Ponte de Sor,
1998 / 1999,Portalegre,7.4
1998 / 1999,Sousel,
1998 / 1999,Alentejo Central,28.0
1998 / 1999,Alandroal,
1998 / 1999,Arraiolos,
1998 / 1999,Borba,
1998 / 1999,Estremoz,
1998 / 1999,Évora,28.0
1998 / 1999,Montemor-o-Novo,
1998 / 1999,Mora,
1998 / 1999,Mourão,
1998 / 1999,Portel,
1998 / 1999,Redondo,
1998 / 1999,Reguengos de Monsaraz,
1998 / 1999,Vendas Novas,
1998 / 1999,Viana do Alentejo,
1998 / 1999,Vila Viçosa,
1998 / 1999,Algarve,37.6
1998 / 1999,Algarve,37.6
1998 / 1999,Albufeira,
1998 / 1999,Alcoutim,
1998 / 1999,Aljezur,
1998 / 1999,Castro Marim,
1998 / 1999,Faro,42.2
1998 / 1999,Lagoa,
1998 / 1999,Lagos,
1998 / 1999,Loulé,5.0
1998 / 1999,Monchique,
1998 / 1999,Olhão,
1998 / 1999,Portimão,13.7
1998 / 1999,São Brás de Alportel,
1998 / 1999,Silves,
1998 / 1999,Tavira,
1998 / 1999,Vila do Bispo,
1998 / 1999,Vila Real de Santo António,
1998 / 1999,Região Autónoma dos Açores,20.8
1998 / 1999,Região Autónoma dos Açores,20.8
1998 / 1999,Região Autónoma dos Açores,20.8
1998 / 1999,Angra do Heroísmo,23.2
1998 / 1999,Calheta,
1998 / 1999,Corvo,
1998 / 1999,Horta,
1998 / 1999,Lagoa,
1998 / 1999,Lajes das Flores,
1998 / 1999,Lajes do Pico,
1998 / 1999,Madalena,
1998 / 1999,Nordeste,
1998 / 1999,Ponta Delgada,21.2
1998 / 1999,Povoação,
1998 / 1999,Ribeira Grande,
1998 / 1999,Santa Cruz da Graciosa,
1998 / 1999,Santa Cruz das Flores,
1998 / 1999,São Roque do Pico,
1998 / 1999,Velas,
1998 / 1999,Vila da Praia da Vitória,
1998 / 1999,Vila do Porto,
1998 / 1999,Vila Franca do Campo,
1998 / 1999,Região Autónoma da Madeira,29.4
1998 / 1999,Região Autónoma da Madeira,29.4
1998 / 1999,Região Autónoma da Madeira,29.4
1998 / 1999,Calheta,
1998 / 1999,Câmara de Lobos,
1998 / 1999,Funchal,29.4
1998 / 1999,Machico,
1998 / 1999,Ponta do Sol,
1998 / 1999,Porto Moniz,
1998 / 1999,Porto Santo,
1998 / 1999,Ribeira Brava,
1998 / 1999,Santa Cruz,
1998 / 1999,Santana,
1998 / 1999,São Vicente,
1997 / 1998,Portugal,30.0
1997 / 1998,Continente,30.2
1997 / 1998,Norte,28.9
1997 / 1998,Alto Minho,21.6
1997 / 1998,Arcos de Valdevez,
1997 / 1998,Caminha,
1997 / 1998,Melgaço,
1997 / 1998,Monção,
1997 / 1998,Paredes de Coura,
1997 / 1998,Ponte da Barca,
1997 / 1998,Ponte de Lima,7.3
1997 / 1998,Valença,
1997 / 1998,Viana do Castelo,26.0
1997 / 1998,Vila Nova de Cerveira,
1997 / 1998,Cávado,40.0
1997 / 1998,Amares,
1997 / 1998,Barcelos,
1997 / 1998,Braga,40.5
1997 / 1998,Esposende,
1997 / 1998,Terras de Bouro,
1997 / 1998,Vila Verde,
1997 / 1998,Ave,36.9
1997 / 1998,Cabeceiras de Basto,
1997 / 1998,Fafe,6.2
1997 / 1998,Guimarães,
1997 / 1998,Mondim de Basto,
1997 / 1998,Póvoa de Lanhoso,
1997 / 1998,Vieira do Minho,
1997 / 1998,Vila Nova de Famalicão,56.6
1997 / 1998,Vizela,
1997 / 1998,Área Metropolitana do Porto,27.5
1997 / 1998,Arouca,
1997 / 1998,Espinho,
1997 / 1998,Gondomar,
1997 / 1998,Maia,5.9
1997 / 1998,Matosinhos,
1997 / 1998,Oliveira de Azeméis,
1997 / 1998,Paredes,
1997 / 1998,Porto,33.7
1997 / 1998,Póvoa de Varzim,
1997 / 1998,Santa Maria da Feira,16.4
1997 / 1998,Santo Tirso,
1997 / 1998,São João da Madeira,
1997 / 1998,Trofa,
1997 / 1998,Vale de Cambra,
1997 / 1998,Valongo,
1997 / 1998,Vila do Conde,
1997 / 1998,Vila Nova de Gaia,10.7
1997 / 1998,Alto Tâmega,
1997 / 1998,Boticas,
1997 / 1998,Chaves,
1997 / 1998,Montalegre,
1997 / 1998,Ribeira de Pena,
1997 / 1998,Valpaços,
1997 / 1998,Vila Pouca de Aguiar,
1997 / 1998,Tâmega e Sousa,9.2
1997 / 1998,Amarante,
1997 / 1998,Baião,
1997 / 1998,Castelo de Paiva,
1997 / 1998,Celorico de Basto,
1997 / 1998,Cinfães,
1997 / 1998,Felgueiras,
1997 / 1998,Lousada,
1997 / 1998,Marco de Canaveses,
1997 / 1998,Paços de Ferreira,
1997 / 1998,Penafiel,9.2
1997 / 1998,Resende,
1997 / 1998,Douro,23.3
1997 / 1998,Alijó,
1997 / 1998,Armamar,
1997 / 1998,Carrazeda de Ansiães,
1997 / 1998,Freixo de Espada à Cinta,
1997 / 1998,Lamego,
1997 / 1998,Mesão Frio,
1997 / 1998,Moimenta da Beira,
1997 / 1998,Murça,
1997 / 1998,Penedono,
1997 / 1998,Peso da Régua,
1997 / 1998,Sabrosa,
1997 / 1998,Santa Marta de Penaguião,
1997 / 1998,São João da Pesqueira,
1997 / 1998,Sernancelhe,
1997 / 1998,Tabuaço,
1997 / 1998,Tarouca,
1997 / 1998,Torre de Moncorvo,
1997 / 1998,Vila Nova de Foz Côa,
1997 / 1998,Vila Real,24.2
1997 / 1998,Terras de Trás-os-Montes,24.2
1997 / 1998,Alfândega da Fé,
1997 / 1998,Bragança,29.9
1997 / 1998,Macedo de Cavaleiros,
1997 / 1998,Miranda do Douro,
1997 / 1998,Mirandela,45.7
1997 / 1998,Mogadouro,
1997 / 1998,Vila Flor,
1997 / 1998,Vimioso,
1997 / 1998,Vinhais,
1997 / 1998,Centro,37.1
1997 / 1998,Oeste,4.9
1997 / 1998,Alcobaça,
1997 / 1998,Alenquer,
1997 / 1998,Arruda dos Vinhos,
1997 / 1998,Bombarral,
1997 / 1998,Cadaval,
1997 / 1998,Caldas da Rainha,3.9
1997 / 1998,Lourinhã,
